JNAME,BNAME,RAJ,RAJ_ERR,DECJ,DECJ_ERR,F0,F0_ERR,F1,F1_ERR,P0,P0_ERR,P1,P1_ERR,DM,DM_ERR,RM,RM_ERR,DIST,ASSOC,PB,PB_ERR,BINCOMP,AGE,BSURF,EDOT,NGLT,TYPE,rm_MK,dm_MK,w50_MK,w10_MK,scatter_MK,USER,COMMENTS,CATEGORY
J1852-0635,,18:52:57.49,0.02,-06:36:01.8,0.8,1.90782618116,2e-11,-5.3252e-14,2e-18,0.524156765367366,5.494806293607599e-12,1.4630471237359594e-14,5.494806293608456e-19,171.0,6.0,414.5,0.7,4.51,,,,,567634.676279779,2802268425951.462,4.010831936498613e+33,,,,,,,,,,
J1852-2610,,18:52:59.4674,,-26:10:12.6998,,2.973207255421,5e-12,-7.7532e-16,5e-20,0.33633713161997586,5.656133305317647e-13,8.770626548557758e-17,5.6561333053176556e-21,56.814,0.019,-21.0,1.0,2.46,,,,,60758946.36994315,173801170101.7105,9.100513698735634e+31,,,,,,,,,,
J1853+0011,,18:53:29.980,0.008,00:11:30.6,0.3,2.513260850307,1.5e-11,-2.117846e-13,1.2e-18,0.3978894589783022,2.37474032349069e-12,3.352889530095643e-14,1.8997922587967677e-19,568.8,1.6,,,5.81,,,,,188022.24175905445,3696075360123.5186,2.101317512266073e+34,,,,,,,,,,
J1853+0505,,18:53:04.36,0.07,+05:05:26.1,1.8,1.10480469655,3e-11,-1.5631e-15,2e-19,0.905137354251592,2.4578208901847163e-11,1.2806066111492433e-15,1.6385472601232916e-19,279.0,3.0,,,9.13,,,,,11198627.164489798,1089469539257.151,6.817607766104695e+31,,,,,,,,,,
J1853+0545,,18:53:58.411,0.001,+05:45:55.26,0.03,7.91137154739,1e-11,-3.83351e-14,1e-19,0.12640033324309044,1.5977044243964313e-13,6.124815887967964e-16,1.5977044243971815e-21,198.7,0.5,79.0,18.0,6.55,,,,,3269800.2134219604,281559773361.66595,1.1973141588117859e+34,1.0,,,,,,,,,
J1853-0004,,18:53:23.027,0.008,-00:04:33.4,0.3,9.8583257314,2e-11,-5.41604e-13,5e-18,0.10143710273387244,2.0578971622084382e-13,5.572826673203695e-15,5.1447429055215925e-20,437.5,0.1,648.7,4.7,5.34,GRS,,,,288394.74180019385,760827434554.1542,2.1078745658072225e+35,,HE,,,,,,,,
J1854+0319,,18:54:00.110,0.012,+03:19:12.8,0.5,1.5909865563800745,3.796857333873192e-11,-1.3947122606427525e-16,1.5187429335492767e-18,0.628540823296,1.5e-11,5.51e-17,6e-19,480.2,1.3,,,9.52,,,,,180737357.56175774,188318299026.77072,8.760136338454181e+30,,,,,,,,,,
J1855+0205,,18:55:42.046,0.005,+02:05:36.4,0.2,4.051588553357142,1.477383282512516e-11,-1.061417811636214e-15,1.1490758863986234e-18,0.2468167699732,9e-13,6.466e-17,7e-20,867.3,0.2,,,7.04,,,,,60479055.682692125,127836585071.65437,1.6977410256615706e+32,,,,,,,,,,
J1855+0307,,18:55:26.63,0.03,+03:07:20.2,0.9,1.18294537068,5e-11,-2.5342e-14,1.3e-17,0.8453475746096066,3.5730626094917226e-11,1.8109710529947845e-14,9.289962784678604e-18,402.5,1.9,69.2,4.6,5.94,,,,,739587.9722458145,3959345384067.2227,1.1834919611517822e+33,,,,,,,,,,
J1855+0527,,18:55:15.073,0.018,+05:27:40.7,0.9,0.7176255015013796,4.1198908832408524e-11,-1.3760796040476733e-13,4.11989088327115e-18,1.39348448168,8e-11,2.67207e-13,8e-18,362.0,3.0,,,11.71,,,,,82626.68759232065,19526525018184.32,3.8985324902892e+33,,,,,,,,,,
J1855+0700,,18:55:17.72,0.04,+07:00:37.1,0.9,3.86571065372,9e-11,-1.1231e-14,8e-18,0.25868464807051533,6.022597243262973e-12,7.515532182120717e-16,5.353419771789322e-19,244.0,4.0,,,10.34,,,,,5453520.552876263,446185215436.01135,1.713986939007203e+33,,,,,,,,,,
J1855-0941,,18:55:15.68,0.03,-09:41:02,1.0,2.895184255407871,3.352836749104651e-10,-2.0117020494627904e-15,2.5146275618284884e-17,0.34540115992,4e-11,2.4e-16,3e-18,151.99,0.14,,,6.11,,,,,22802296.43044253,291351658759.54645,2.2993209873014992e+32,,,,,,,,,,
J1856+0102,,18:56:28.503,0.013,+01:02:10.6,0.5,1.61233860788,5e-11,-3.176e-15,6e-18,0.6202171151349284,1.9233463495314652e-11,1.2217096012223867e-15,2.3080156194377593e-18,554.0,3.0,556.9,8.2,6.54,,,,,8043439.450952554,880857882582.9166,2.021605841756914e+32,,,,,,,,,,
