JNAME,BNAME,RAJ,RAJ_ERR,DECJ,DECJ_ERR,F0,F0_ERR,F1,F1_ERR,P0,P0_ERR,P1,P1_ERR,DM,DM_ERR,RM,RM_ERR,DIST,ASSOC,PB,PB_ERR,BINCOMP,AGE,BSURF,EDOT,NGLT,TYPE,rm_MK,dm_MK,w50_MK,w10_MK,scatter_MK,USER,COMMENTS,CATEGORY
J0922+0638,B0919+06,09:22:14.022,0.004,06:38:23.30,0.17,2.32219477708,9e-11,-7.4037e-14,5e-18,0.4306270989281231,1.6689572849812637e-11,1.3729398945350872e-14,9.271984916568685e-19,27.2986,0.0005,29.2,0.3,1.1,XRS,,,,496953.63140990597,2460517276422.1753,6.787458595729649e+33,1.0,,,,,,,aparthas,timephaseplotmissingforoneobservation,PROFILE:SinglePeak+withShoulders;POLARIZATION:HighLinearPol+RVMLike+PAJump+ComplicatedPA;FREQUENCY:Scintillation;TIME:Stable;OBSERVATION:MediumSN_100to1000+HighSN_Above1000 
J0922-4949,,09:22:14.961,0.013,-49:49:12.08,0.08,1.052311967403,8e-12,-1.08044e-13,4e-18,0.9502885370275693,7.224386428847984e-12,9.756895091480644e-14,3.6121932144242966e-18,237.1,0.3,-15.0,5.0,2.7,,,,,154315.6215561245,9743916222911.896,4.4885379392106124e+33,,,,,,,,aparthas,occasionalemissionfromthe2surroundingcomponentsStrangepolarizationsayssimon,PROFILE:TriplePeak+withCentral;POLARIZATION:HighLinearPol+RVMLike+PAJump;FREQUENCY:FlatSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0924-5302,B0922-52,09:24:08.69,0.05,-53:02:44.2,0.4,1.3399523234463453,1.795472229109259e-10,-6.369796827210918e-14,8.977361145562525e-18,0.74629520954,1e-10,3.5477e-14,5e-18,152.9,0.5,150.0,20.0,0.51,,,,,333295.7709937798,5206894152220.016,3.3695713972831726e+33,,,,,,,,aparthas,Coarsespikyemissionfromthefirstcomponent,PROFILE:DoublePeak+Narrow;POLARIZATION:RVMLike+PAJump;FREQUENCY:SteepSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000+HighSN_Above1000 
J0924-5814,B0923-58,09:24:30.83,0.03,-58:14:05.1,0.3,1.35225504153,4e-11,-9.002e-15,3e-18,0.739505469965604,2.1874733604361946e-11,4.922908797661657e-15,1.640605020327172e-18,57.4,0.3,-45.0,1.0,0.11,,,,,2380047.57292635,1930774563647.6807,4.8057077291254565e+32,,,,,,,,aparthas,spikycrazyemissionbutnicepaswingalsoseemslike2componentsmixedfromthepolarization,PROFILE:SinglePeak+Symmetric+Complicated;POLARIZATION:HighLinearPol+RVMLike+FreqDependentPol;FREQUENCY:Scintillation;TIME:Modulation;OBSERVATION:HighSN_Above1000 
J0930-2301,,09:30:02.82,0.08,-23:01:45,1.0,0.5533823988982525,2.4498566352830768e-11,-1.029552250977713e-15,2.143624555872694e-18,1.80706867799,8e-11,3.362e-15,7e-18,78.3,0.5,,,25.0,,,,,8516143.806384344,2494228067537.537,2.249227946046514e+31,,,,,,,,aparthas,reprocesstoremoveRFIbothcomponentsnulling,PROFILE:DoublePeak;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:Nulling;OBSERVATION:LowSN_0to100+LeftoverRFI+Reprocess 
J0932-3217,,09:32:39.15,0.06,-32:17:14.2,0.8,0.51769836154033,5.092220277289302e-11,-6.700289838538557e-17,4.020173903123134e-18,1.93162674308,1.9e-10,2.5e-16,1.5e-17,102.1,0.8,241.0,23.0,0.41,,,,,122419115.71729155,703204412833.4805,1.3693993483144817e+30,,,,,,,,aparthas,,PROFILE:SinglePeak+Narrow;POLARIZATION:RVMLike+PAJump;FREQUENCY:SteepSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0932-5327,,09:32:22.86,0.14,-53:27:11.0,1.6,0.22767847553,3e-11,-4.34e-16,4e-18,4.392158712729238,5.787317447341006e-10,8.372319240486655e-15,7.716423263121344e-17,122.0,11.0,,,0.36,,,,,8311861.205021753,6136374843130.314,3.900959496439617e+30,,,,,,,,aparthas,,PROFILE:DoublePeak+withShoulders+withSteepLeading+Narrow;POLARIZATION:ComplicatedPA;FREQUENCY:SteepSpectrum;TIME:Modulation;OBSERVATION:MediumSN_100to1000 
J0934-4154,,09:34:58.20,0.03,-41:54:19.5,0.3,1.753127292009969,4.30283742278629e-11,-8.267594762353657e-16,9.220365905970622e-18,0.57040923643,1.4e-11,2.69e-16,3e-18,113.79,0.16,,,0.53,,,,,33596985.081648774,396386990994.9897,5.722059492840108e+31,,,,,,,,aparthas,scatteringtailperhaps,PROFILE:Complicated;POLARIZATION:FlatPA+ComplicatedPA;FREQUENCY:Scattering+SteepSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0934-5249,B0932-52,09:34:28.21,0.05,-52:49:27.4,0.2,0.692148271,3e-11,-2.231e-15,3e-18,1.4447771408216088,6.262142959921989e-11,4.65694698119532e-15,6.262142959922002e-18,100.0,2.0,18.0,6.0,0.35,,,,,4915476.286816741,2624829243496.799,6.096189314376513e+31,,,,,,,,aparthas,nicedrifting,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:PAJump+ComplicatedPA;FREQUENCY:Scintillation+SteepSpectrum;TIME:Modulation+Drifting;OBSERVATION:HighSN_Above1000 
J0940-5428,,09:40:58.22,0.04,-54:28:40.6,0.3,11.4226702411,5e-10,-4.28857e-12,1.2e-16,0.08754520430799902,3.832081398664645e-12,3.286829864774247e-14,9.19699535684016e-19,134.55,0.03,-31.0,1.0,0.38,,,,,42200.84756348528,1716543330784.834,1.9339261210685143e+36,,,,,,,,aparthas,notenoughsnr,PROFILE:DoublePeak+NotSure;POLARIZATION:RVMLike+PAJump;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:MediumSN_100to1000 
J0941-5244,,09:41:41.147,0.006,-52:44:04.48,0.05,1.5184700294332782,2.3057512302871006e-11,-2.623714324943692e-15,4.61150246057427e-19,0.65855761432,1e-11,1.1379e-15,2e-19,157.94,0.01,-243.0,4.0,0.4,,,,,9169712.414610058,875989528681.0006,1.5728326199920176e+32,,,,,,,,aparthas,,PROFILE:DoublePeak+Narrow;POLARIZATION:RVMLike;FREQUENCY:SteepSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0942-5552,B0940-55,09:42:15.83,0.09,-55:52:52.3,0.9,1.5051910545848934,1.3593600664814304e-10,-5.177802493227768e-14,1.1328000554015781e-17,0.66436748807,6e-11,2.2854e-14,5e-18,180.2,0.5,-61.9,0.2,0.3,,,,,460587.5405344358,3943077159033.059,3.076782846408514e+33,,,,,,,,aparthas,perhapsalsonullingandnicepaswing,PROFILE:TriplePeak+withCentral;POLARIZATION:HighLinearPol+RVMLike+PAJump+ComplicatedPA;FREQUENCY:Scintillation+SteepSpectrum;TIME:Modulation;OBSERVATION:HighSN_Above1000 
J0942-5657,B0941-56,09:42:54.424,0.009,-56:57:43.21,0.06,1.23737204382,2e-11,-6.0639e-14,2e-18,0.8081643714147704,1.3062593024484618e-11,3.960512892058614e-14,1.3062593024490894e-18,159.74,0.12,135.0,4.0,0.41,,,,,323306.40333112876,5725000700241.022,2.96218424096056e+33,,,,,,,,aparthas,,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:RVMLike+PAJump;FREQUENCY:Scintillation;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0943+1631,B0940+16,09:43:30.10,0.15,16:31:37,6.0,0.919609800526,8e-12,-7.703e-17,6e-20,1.0874177280712083,9.459818522588387e-12,9.108622759937294e-17,7.094863891941293e-20,20.3402,0.0018,17.36,0.07,1.49,,,,,189151474.18998787,318474409274.71643,2.7965541020354925e+30,,,,,,,,aparthas,Thereisaweird0dmlikerfialsopulsarisnullingdoesntseemlikemoding,PROFILE:Wide+Complicated;POLARIZATION:PAJump+FlatPA+ComplicatedPA;FREQUENCY:Scintillation;TIME:Nulling+Modulation;OBSERVATION:MediumSN_100to1000+LeftoverRFI+Reprocess 
J0944-1354,B0942-13,09:44:28.9559,0.0011,-13:54:41.63,0.03,1.7535734003402,1e-12,-1.39163e-16,7e-21,0.5702641245618781,3.2520117176232526e-13,4.5255970665960474e-17,2.276408202336278e-21,12.497,0.003,-7.0,3.0,0.69,,,,,199648570.0161882,162564587314.87158,9.634018330183522e+30,,,,,,,,aparthas,nicescintles,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:RVMLike;FREQUENCY:Scintillation+SteepSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000+HighSN_Above1000 
J0945-4833,,09:45:38.254,0.006,-48:33:14.50,0.05,3.0158125192796748,1.6371225272599236e-11,-4.3921268868838315e-14,5.457075090866433e-18,0.3315855987755,1.8e-12,4.8291e-15,6e-19,98.1,0.3,-1.1,4.2,0.35,,,,,1087916.3376059113,1280503906830.389,5.229244576726108e+33,,,,,,,,aparthas,,PROFILE:Complicated+Narrow;POLARIZATION:HighLinearPol+FlatPA;FREQUENCY:SteepSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0949-6902,,09:49:20.567,0.006,-69:02:41.60,0.03,1.5624616118806578,2.441286288600703e-11,-1.555099365838648e-15,1.2206431443003526e-18,0.64001572416,1e-11,6.37e-16,5e-19,93.0,0.1,-58.0,14.0,1.68,,,,,15919053.743753068,646122725711.5153,9.592399040105727e+31,,,,,,,,aparthas,Thefirstcomponentseemstobenullingwhiletheotherisnot,PROFILE:DoublePeak+withShoulders+Narrow;POLARIZATION:FlatPA;FREQUENCY:FlatSpectrum;TIME:Nulling;OBSERVATION:MediumSN_100to1000 
J0952-3839,B0950-38,09:52:17.2,0.1,-38:39:10.2,0.9,0.7278999804434675,2.649191907648002e-10,-3.073062612871682e-16,1.5895151445888012e-17,1.3738151214,5e-10,5.8e-16,3e-17,167.0,3.0,331.7,9.5,0.53,,,,,37528943.28203797,903291911234.6174,8.830857024754104e+30,,,,,,,,aparthas,,PROFILE:SinglePeak+Symmetric;POLARIZATION:PAJump;FREQUENCY:SteepSpectrum;TIME:Drifting;OBSERVATION:MediumSN_100to1000 
J0953+0755,B0950+08,09:53:09.3097,0.0019,07:55:35.75,0.08,3.951551372963,1.4e-11,-3.58762e-15,4e-20,0.25306516494815756,8.965876879433347e-13,2.297582800728047e-16,2.561679108410045e-21,2.96927,8e-05,-0.66,0.04,0.261,,,,,17451277.853855513,244006697969.3492,5.596722907112069e+32,,HE,,,,,,aparthas,simonsaysalignedthough,PROFILE:SinglePeak+withInterpulse;POLARIZATION:PAJump+ComplicatedPA;FREQUENCY:SteepSpectrum;TIME:Nulling;OBSERVATION:HighSN_Above1000 
J0954-5430,,09:54:06.046,0.005,-54:30:52.82,0.04,2.11483307064,1.8e-10,-1.96358e-13,5e-18,0.4728505591684244,4.024577723506049e-11,4.3903224035122266e-14,1.1179382565544385e-18,201.57,0.05,65.0,10.0,0.43,,,,,170644.98531878713,4610628587419.233,1.6393981086940556e+34,,,,,,,,aparthas,,PROFILE:DoublePeak+withShoulders+Narrow;POLARIZATION:RVMLike+PAJump;FREQUENCY:FlatSpectrum;TIME:Modulation;OBSERVATION:MediumSN_100to1000 
J0955-5304,B0953-52,09:55:29.474,0.007,-53:04:16.57,0.06,1.159928626936,7e-12,-4.7433e-15,7e-19,0.862122010594343,5.202780528058627e-12,3.525478411248641e-15,5.202780528058644e-19,156.9,0.2,-97.0,13.0,0.4,,,,,3874509.3277205736,1764181951240.2148,2.1720588956272414e+32,,,,,,,,aparthas,,PROFILE:TriplePeak+withShoulders+withCentral+Narrow;POLARIZATION:RVMLike+PAJump+ComplicatedPA;FREQUENCY:SteepSpectrum;TIME:Nulling;OBSERVATION:MediumSN_100to1000 
J0957-5432,,09:57:56.01,0.03,-54:32:03.9,0.5,4.91263619475,1.3e-10,-4.699e-14,8e-17,0.20355669753617672,5.386592784538489e-12,1.9470461149651046e-15,3.3148263289467644e-18,226.1,0.3,125.0,19.0,0.45,,,,,1656438.041472814,637060671964.3352,9.113386420994884e+33,,,,,,,,aparthas,notenoughsnr,PROFILE:SinglePeak+NotSure+withShoulders+Narrow;POLARIZATION:NotSure;FREQUENCY:SteepSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0959-4809,B0957-47,09:59:26.26,0.09,-48:09:47.5,0.7,1.4923462922164792,4.0087754206060913e-10,-1.8262199138316639e-16,2.0043877103030456e-17,0.6700857604,1.8e-10,8.2e-17,9e-18,92.7,1.2,50.0,6.0,0.36,,,,,129474002.55174124,237204049563.3816,1.0759260479226274e+31,,,,,,,,aparthas,singlepulsesshowsignsofdrifting,PROFILE:DoublePeak+Wide+withBridge;POLARIZATION:RVMLike+PAJump;FREQUENCY:SteepSpectrum;TIME:Drifting;OBSERVATION:MediumSN_100to1000 
J1000-5149,,10:00:28.141,0.006,-51:49:58.12,0.07,3.9111833095702804,3.059470976212226e-11,-1.4677812008378154e-14,9.178412928636681e-18,0.2556770984252,2e-12,9.595e-16,6e-19,72.8,0.3,46.0,9.0,0.13,,,,,4221948.070314675,501208447815.39233,2.2663617334288895e+33,,,,,,,,aparthas,weirdsinglepulsebehaviour,PROFILE:SinglePeak+withShoulders+withSteepTrailing;POLARIZATION:HighLinearPol+RVMLike;FREQUENCY:Scintillation;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J1001-5507,B0959-54,10:01:37.88,0.05,-55:07:08.6,0.4,0.69607303565,2e-11,-2.5031e-14,2e-18,1.4366308544996143,4.127816424200583e-11,5.16616864570824e-14,4.1278164242016514e-18,130.32,0.17,297.0,18.0,0.3,,,,,440598.12789450894,8717799223769.893,6.878484253346072e+32,,,,,,,,aparthas,ornullingperhaps,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:ComplicatedPA;FREQUENCY:SteepSpectrum;TIME:Modulation;OBSERVATION:HighSN_Above1000 
J1001-5559,,10:01:08.60,0.03,-55:59:00.2,0.3,0.60198290512,1.4e-11,-3.118e-16,1.4e-18,1.6611767402276296,3.863311427182611e-11,8.604146449968131e-16,3.863311427182612e-18,159.3,0.9,112.0,11.0,0.43,,,,,30589620.20523864,1209795029872.911,7.410030679427829e+30,,,,,,,,aparthas,perhapsnulling,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:PAJump+ComplicatedPA;FREQUENCY:SteepSpectrum;TIME:Nulling+Modulation;OBSERVATION:HighSN_Above1000 
J1002-5919,,10:02:20.50,0.05,-59:19:37.2,0.6,1.4015628057388814,1.178626979058387e-09,-2.0429534303678712e-16,1.9643782984306457e-17,0.7134892535,6e-10,1.04e-16,1e-17,347.0,2.0,,,3.17,,,,,108697644.80420175,275651503788.27246,1.1303964043561778e+31,,,,,,,,aparthas,perhapsnullinganddrifting,PROFILE:Wide+Complicated;POLARIZATION:NotSure;FREQUENCY:SteepSpectrum;TIME:Modulation;OBSERVATION:LowSN_0to100 
J1003-4747,B1001-47,10:03:21.528,0.007,-47:47:01.2,0.1,3.25654170023,3e-11,-2.1966e-14,2e-18,0.30707421923366524,2.828837283538953e-12,2.0712746590072215e-15,1.885891522359341e-19,98.49,0.08,18.0,4.0,0.37,,,,,2348938.8001214466,807031529683.143,2.8240173442806686e+33,,,,,,,,aparthas,perioddriftingalot,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:MediumSN_100to1000+UpdateEphem+Reprocess 
J1006-6311,,10:06:36.60,0.02,-63:11:41.2,0.2,1.1964621074922903,2.863043149329786e-10,-8.202618622829837e-16,4.294564723994696e-18,0.835797468,2e-10,5.73e-16,3e-18,195.99,0.05,,,2.38,,,,,23110666.28335694,700289822819.0497,3.8744602112309277e+31,,,,,,,,aparthas,notenoughsnr,PROFILE:DoublePeak+withShoulders;POLARIZATION:NotSure;FREQUENCY:SteepSpectrum;TIME:NotSure;OBSERVATION:LowSN_0to100 
J1012-2337,B1010-23,10:12:33.7251,,-23:38:22.4354,,0.397149259359,6e-12,-1.3895e-16,5e-20,2.517945020504389,3.8040282757697086e-11,8.809495481970016e-16,3.170023563141435e-19,22.51,0.09,52.0,9.0,0.98,,,,,45285716.46579543,1507122725220.1426,2.1785726381851723e+30,,,,,,,,aparthas,nicescintles,PROFILE:SinglePeak+Narrow;POLARIZATION:PAJump;FREQUENCY:Scintillation+SteepSpectrum;TIME:Nulling;OBSERVATION:LowSN_0to100 
J1012-5830,,10:12:54.9,0.1,-58:30:25.6,0.8,0.46869334352842096,6.590203508035513e-11,-8.270705402584569e-15,1.3180407016071231e-17,2.1335912144,3e-10,3.765e-14,6e-17,294.0,4.0,,,2.8,,,,,897867.5399886835,9069598791759.855,1.5303510792608401e+32,,,,,,,,aparthas,,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:NotSure;FREQUENCY:SteepSpectrum;TIME:Nulling;OBSERVATION:LowSN_0to100+LeftoverRFI+Reprocess 
J1012-5857,B1011-58,10:12:48.48,0.02,-58:57:48.7,0.1,1.21962189421,2e-11,-2.6469e-14,2e-18,0.8199262449677011,1.344558094373669e-11,1.779455409998832e-14,1.3445580943737956e-18,383.9,0.1,74.0,6.0,3.19,,,,,730051.866025139,3865279711774.5444,1.2744490641483246e+33,,,,,,,,aparthas,singlepulseneedtobereprocessedIthink,PROFILE:SinglePeak+Narrow;POLARIZATION:RVMLike+PAJump+FreqDependentPol;FREQUENCY:FreqProfileEvol+SteepSpectrum;TIME:Nulling;OBSERVATION:HighSN_Above1000 
J1013-5934,,10:13:31.835,0.008,-59:34:26.63,0.05,2.25784124142,1e-11,-2.838e-15,1e-18,0.44290093637012345,1.9616123943753212e-12,5.567055975237161e-16,1.9616123943753223e-19,379.78,0.17,-97.0,7.0,3.14,,,,,12605121.833730288,502476865891.3172,2.5296796633443323e+32,,,,,,,,aparthas,,PROFILE:Wide+TriplePeak;POLARIZATION:HighLinearPol+RVMLike+PAJump;FREQUENCY:SteepSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J1015-5719,,10:15:37.96,0.04,-57:19:12.8,0.2,7.148899106681464,2.0442703375004413e-10,-2.9318925180431334e-12,6.132811012524246e-17,0.139881677595,4e-12,5.7368e-14,1.2e-18,278.1,0.2,96.0,2.0,2.73,,,,,38632.88665461621,2866587806120.0986,8.274598874451528e+35,,,,,,,,aparthas,notenoughsnr,PROFILE:Wide+Complicated+TriplePeak;POLARIZATION:HighLinearPol+ComplicatedPA;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:MediumSN_100to1000 
J1016-5345,B1014-53,10:16:31.2,0.1,-53:45:13.8,0.6,1.2994041122973765,3.3769020941106664e-10,-3.2519567166285717e-15,1.6884510470553417e-17,0.7695835272,2e-10,1.926e-15,1e-17,66.8,1.8,-21.0,4.0,0.12,,,,,6330900.9320207,1231986648608.0493,1.668202355596857e+32,,,,,,,,aparthas,perhapsnullingandordrifting,PROFILE:SinglePeak+Narrow;POLARIZATION:RVMLike+PAJump;FREQUENCY:Scintillation;TIME:Nulling+Modulation;OBSERVATION:MediumSN_100to1000 
J1016-5819,,10:16:12.071,0.002,-58:19:01.07,0.16,11.38507898552,7e-11,-9.05763e-14,1.3e-18,0.08783426107731357,5.400400193298378e-13,6.987832400403597e-16,1.0029314644700668e-20,252.16,0.07,92.0,14.0,2.59,,,,,1991533.0095334728,250699342183.3567,4.071086786180232e+34,,,,,,,,aparthas,cantmakeoutmuchgiventhesnr,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J1016-5857,,10:16:21.16,0.01,-58:57:12.1,0.1,9.31216108951,1.3e-10,-7.00965e-12,5e-17,0.1073864584587657,1.4991406898411071e-12,8.083424258880552e-14,5.765925730202276e-19,394.48,0.09,-540.0,3.0,3.16,SNR,,,,21048.453085587473,2981414950425.3774,2.5769533135934722e+36,,,,,,,,aparthas,lowsnr,PROFILE:DoublePeak+NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J1017-5621,B1015-56,10:17:12.831,0.003,-56:21:30.52,0.03,1.986244776367,7e-12,-1.2387e-14,1e-18,0.5034626204676947,1.7743222714573863e-12,3.1397899966489493e-15,2.5347461020819903e-19,438.7,0.5,332.8,3.6,3.51,,,,,2540578.7879903843,1272283500253.5723,9.713117498393388e+32,,,,,,,,aparthas,maybealsomodechanging,PROFILE:SinglePeak+withShoulders+withCentral+Narrow;POLARIZATION:HighCircularPol+ComplicatedPA;FREQUENCY:SteepSpectrum;TIME:ModeChanging+Modulation;OBSERVATION:HighSN_Above1000 
J1017-7156,,10:17:51.32828,2e-05,-71:56:41.64586,0.00011,427.621905105409,6e-12,-4.0584e-16,1.2e-19,0.0023385144401185426,3.2811898719857644e-17,2.2193968294111713e-21,6.56237974397153e-25,94.22407,3e-05,-63.0,1.0,0.25640839231532314,,6.511905,2e-06,He,16694412182.365654,72901671.65947354,6.851324381704585e+33,,,,,,,,aparthas,pagenotfound,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:NotSure 
J1018-1642,B1016-16,10:18:40.3645,,-16:42:10.1533,,0.554110267968,3e-12,-5.3492e-16,3e-20,1.8046949457679968,9.770771541841658e-12,1.7421937043873134e-15,9.770771541841843e-20,48.82,0.07,,,25.0,,,,,16412449.366283836,1794320832238.5288,1.1701587126646543e+31,,,,,,,,aparthas,singlepulseshowdrifting,PROFILE:Complicated+Narrow;POLARIZATION:HighCircularPol+ComplicatedPA;FREQUENCY:Scintillation;TIME:Modulation+Drifting;OBSERVATION:MediumSN_100to1000 
J1019-5749,,10:19:52.14,0.04,-57:49:05.9,0.5,6.153895006418584,3.0296339000018866e-10,-7.603244976292234e-13,1.136112712500954e-16,0.162498709997,8e-12,2.0077e-14,3e-18,1040.0,1.0,-366.0,10.0,10.91,,,,,128238.11804680381,1827781791961.0654,1.847178235001614e+35,,,,,,,,aparthas,scatteredprofile,PROFILE:Complicated;POLARIZATION:NotSure;FREQUENCY:Scattering+NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J1020-5921,,10:20:14.03,0.08,-59:21:34,1.0,0.8075552646684389,7.173600560430835e-11,-2.6392328607330536e-14,5.21716404394972e-17,1.23830534423,1.1e-10,4.047e-14,8e-17,80.0,3.0,-60.0,14.0,0.94,,,,,484797.7327469927,7163585589335.261,8.41413933297294e+32,,,,,,,,aparthas,singlepulseneedtobeprocessed,PROFILE:SinglePeak+Symmetric+Narrow;POLARIZATION:RVMLike+ComplicatedPA;FREQUENCY:Scintillation+SteepSpectrum;TIME:Modulation+Drifting;OBSERVATION:MediumSN_100to1000 
J1020-6026,,10:20:11.41,0.19,-60:26:06.3,1.2,7.11838566803,5e-11,-3.41421e-13,5e-18,0.14048128980861305,9.867496393145764e-13,6.73794097208844e-15,9.867496393150305e-20,441.5,0.4,-721.0,14.0,3.26,,,,,330337.07672149595,984516099276.7985,9.59470178218062e+34,,,,,,,,aparthas,barelydetected,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J1021-5601,,10:21:24.82,0.15,-56:01:50.9,1.1,1.4924787334,3e-10,-1.19e-16,1.3e-17,0.6700262976088849,1.34680571846241e-10,5.342329349900893e-17,5.83615811333711e-18,212.0,8.0,,,2.43,,,,,198713433.46449536,191452583754.81616,7.011563145631729e+30,,,,,,,,aparthas,lowsnrweirdprofilethough,PROFILE:Wide+Complicated;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J1028-5819,,10:28:28.0,0.1,-58:19:05.2,1.5,10.940532300155269,1.6757334581503701e-07,-1.9270934768729255e-12,9.575619760861078e-14,0.0914032309,1.4e-09,1.61e-14,8e-16,96.525,0.002,-5.0,4.0,1.42,GRS,,,,89950.11202624734,1227562717709.2664,8.323403920574374e+35,,HE,,,,,,aparthas,istheperioddrifting,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:HighLinearPol;FREQUENCY:Scintillation;TIME:Stable;OBSERVATION:LowSN_0to100 
J1031-6117,,10:31:02.24,0.07,-61:17:50.6,0.3,3.2635921411997333,1.065103366410066e-10,-1.9001444056755582e-14,5.325516832050332e-17,0.306410837119,1e-11,1.784e-15,5e-18,506.8,1.2,,,3.38,,,,,2721293.0251673185,748168577141.7985,2.4481736697422992e+33,,,,,,,,aparthas,singlepulseshowsignsofnulling,PROFILE:NotSure+Narrow;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:Nulling+NotSure;OBSERVATION:LowSN_0to100 
J1032-5206,,10:32:27.69,0.07,-52:06:08.5,0.6,0.415347538228,1.9e-11,-3.0865e-15,1.8e-18,2.4076223113451127,1.1013625868764887e-10,1.7891345391548855e-14,1.0433961349356337e-17,139.0,4.0,,,2.1,,,,,2132118.7857945263,6641492061347.869,5.061015399370213e+31,,,,,,,,aparthas,nosubbandedplotsonthewebpagealsoperhapsnulling,PROFILE:DoublePeak+Narrow;POLARIZATION:RVMLike+PAJump;FREQUENCY:SteepSpectrum;TIME:Nulling+Modulation;OBSERVATION:MediumSN_100to1000+LeftoverRFI+Reprocess 
J1034-3224,,10:34:19.5097,,-32:24:25.996,,0.869118997779,7e-12,-1.7408e-16,6e-20,1.1505904284171227,9.267008337755684e-12,2.304572587766442e-16,7.943150003790597e-20,50.75,0.08,-8.0,1.0,1.64,,,,,79103627.99420321,521081377612.20984,5.972935952562169e+30,,,,,,,,aparthas,allkindsofweirdemissionthesecondsetofcomponentsseemtoshowdriftingbehaviourwhilethefirstcomponentshowsspikyemission,PROFILE:Wide+Complicated;POLARIZATION:PAJump+ComplicatedPA+FreqDependentPol;FREQUENCY:Scintillation;TIME:Nulling+Modulation+Drifting;OBSERVATION:HighSN_Above1000 
J1035-6345,,10:35:03.08,0.01,-63:45:18.41,0.06,1.7253970653703459,1.7861970199131612e-11,-1.043139059629286e-15,3.572394039826322e-18,0.579576736318,6e-12,3.504e-16,1.2e-18,189.7,0.9,-32.0,23.0,2.17,,,,,26206733.041399952,456023789870.1854,7.105440373104686e+31,,,,,,,,aparthas,singlepulseshowdriftingbehaviour,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:NotSure;FREQUENCY:SteepSpectrum;TIME:Drifting;OBSERVATION:MediumSN_100to1000 
J1036-4926,,10:36:13.121,0.007,-49:26:21.2,0.1,1.95936510762,1e-11,-6.3385e-15,3e-19,0.5103694028800376,2.6047692739612615e-12,1.6510330043003456e-15,7.814307821883966e-20,136.52,0.01,-11.0,6.0,2.31,,,,,4897730.8188062515,928902583710.995,4.902996703429674e+32,,,,,,,,aparthas,,PROFILE:DoublePeak+withShoulders+Narrow;POLARIZATION:RVMLike+PAJump;FREQUENCY:Scintillation;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J1036-6559,,10:36:20.04,0.02,-65:59:09.27,0.06,1.8744076182261553,2.1080423515585492e-10,-4.785256138037906e-15,3.513403919264414e-18,0.53350188629,6e-11,1.362e-15,1e-18,158.36,0.09,-88.0,20.0,2.05,,,,,6206187.452902939,862594156475.7018,3.5410247839046145e+32,,,,,,,,aparthas,perhapsdrifting,PROFILE:SinglePeak+Symmetric+Narrow;POLARIZATION:NotSure;FREQUENCY:SteepSpectrum;TIME:Drifting+NotSure;OBSERVATION:LowSN_0to100+MediumSN_100to1000 
